,Token,Relation,Head,Children
14020,respond,ccomp,understand,[request]
14021,request,dobj,respond,[]
14022,well,advmod,understand,[]
14023,dot,nsubj,request,[  ]
14024,  ,dep,dot,[]
14025,frequently,advmod,request,[]
14026,request,conj,understand,"[dot, frequently,     , time]"
14027,    ,dep,request,[]
14028,time,dobj,request,[]
14029,get,auxpass,want,[]
14030,want,dep,understand,"[get,   , want]"
14031,  ,dep,want,[]
14032,dot,nsubj,want,[]
14033,usually,advmod,want,[]
14034,exactly,advmod,want,[]
14035,want,ccomp,want,"[dot, usually, exactly, request]"
14036,first,amod,request,[]
14037,request,dobj,want,"[first,   ]"
14038,  ,dep,request,[]
14039,n,punct,understand,[]
14040,t,nsubj,consider,[]
14041,consider,ROOT,consider,"[t, upgrade]"
14042,upgrade,xcomp,consider,[ ]
14043, ,dep,upgrade,[]
14044,good,amod,experience,[]
14045,experience,nsubj,echo,"[good,   , generation]"
14046,  ,dep,experience,[]
14047,far,advmod,second,[]
14048,second,amod,generation,[far]
14049,generation,appos,experience,[second]
14050,echo,nsubj,purchased,"[experience,   , learn, right, enjoying]"
14051,  ,dep,echo,[]
14052,many,amod,thing,[]
14053,thing,nsubj,learn,[many]
14054,learn,ccomp,echo,"[thing,   , time, yet]"
14055,  ,dep,learn,[]
14056,time,dobj,learn,[]
14057,yet,advmod,learn,[  ]
14058,  ,dep,yet,[]
14059,right,dep,echo,[  ]
14060,  ,dep,right,[]
14061,mostly,advmod,enjoying,[]
14062,enjoying,advcl,echo,"[mostly, update]"
14063,music,compound,weather,[  ]
14064,  ,dep,music,[]
14065,weather,compound,update,[music]
14066,update,dobj,enjoying,"[weather,   , using]"
14067,  ,dep,update,[]
14068,using,acl,update,[personality]
14069,alarm,compound,feature,[]
14070,feature,compound,personality,"[alarm,   ]"
14071,  ,dep,feature,[]
14072,personality,dobj,using,"[feature,   ]"
14073,  ,dep,personality,[]
14074,also,advmod,purchased,[]
14075,purchased,ROOT,purchased,"[echo, also, socket]"
14076,mini,amod,socket,[]
14077,smart,amod,socket,[]
14078,socket,dobj,purchased,"[mini, smart]"
14079,yes,intj,excited,[  ]
14080,  ,dep,yes,[]
14081,excited,ROOT,excited,"[yes, begin]"
14082,begin,xcomp,excited,[using]
14083,using,xcomp,begin,[]
14084,  ,dep,trouble,[]
14085,trouble,dep,figure,"[  , connecting]"
14086,connecting,acl,trouble,[tv]
14087,tv,dobj,connecting,[    ]
14088,    ,dep,tv,[]
14089,exactly,advmod,tech,[]
14090,tech,npadvmod,smart,[exactly]
14091,smart,amod,sure,"[tech,     ]"
14092,    ,dep,smart,[]
14093,sure,advmod,figure,[smart]
14094,one,nummod,grandson,[]
14095,grandson,nsubj,figure,[one]
14096,figure,aux,using,"[trouble, sure, grandson,   ]"
14097,  ,dep,figure,[]
14098,far,advmod,using,[  ]
14099,  ,dep,far,[]
14100,using,ROOT,using,"[figure, far, music]"
14101,mostly,advmod,music,[]
14102,music,dobj,using,"[mostly,  ]"
14103, ,dep,music,[]
14104,simply,advmod,love,[]
14105,love,nsubj,watch,"[simply, echo]"
14106,echo,dobj,love,[  ]
14107,  ,dep,echo,[]
14108,hardly,advmod,watch,[]
14109,watch,ROOT,watch,"[love, hardly, tv, anymore, m, make]"
14110,tv,dobj,watch,[]
14111,anymore,advmod,watch,[   ]
14112,   ,dep,anymore,[]
14113,m,dep,watch,[]
14114,busy,amod,skill,[listening]
14115,listening,xcomp,busy,[speaker]
14116,music,compound,speaker,[  ]
14117,  ,dep,music,[]
14118,speaker,dobj,listening,[music]
14119,pretty,amod,size,[]
14120,goo,compound,size,[]
14121,size,compound,skill,"[pretty, goo,   ]"
14122,  ,dep,size,[]
14123,fun,compound,skill,[]
14124,skill,nsubj,make,"[busy, size, fun]"
14125,really,advmod,make,[]
14126,make,conj,watch,"[skill, really, fun, family]"
14127,echo,compound,fun,[]
14128,fun,dobj,make,[echo]
14129,whole,amod,family,[]
14130,family,dobj,make,"[whole,  ]"
14131, ,dep,family,[]
14132,enjoyed,ROOT,enjoyed,[experience]
14133,entire,amod,experience,[]
14134,echo,compound,experience,[]
14135,experience,dobj,enjoyed,"[entire, echo]"
14136,easy,amod,set,[]
14137,set,ROOT,set,"[easy,  ]"
14138, ,dep,set,[]
14139,echo,advcl,seems,[device]
14140,amazing,amod,device,[]
14141,device,dobj,echo,"[amazing,   ]"
14142,  ,dep,device,[]
14143,many,amod,time,[]
14144,time,nsubj,seems,[many]
14145,seems,ROOT,seems,"[echo, time, time, ask, made, told, ask]"
14146,intuitive,amod,time,[  ]
14147,  ,dep,intuitive,[]
14148,time,oprd,seems,[intuitive]
14149,ask,ccomp,seems,[seems]
14150,something,nsubj,seems,[]
14151,seems,ccomp,ask,"[something, clear, messed, complete, n]"
14152,clear,oprd,seems,[]
14153,simple,amod,get,[]
14154,get,compound,result,[simple]
14155,result,compound,installation,"[get,   ]"
14156,  ,dep,result,[]
14157,installation,nsubj,messed,"[result, straightforward]"
14158,fairly,advmod,straightforward,[]
14159,straightforward,advmod,installation,"[fairly,   ]"
14160,  ,dep,straightforward,[]
14161,messed,ccomp,seems,"[installation, thought]"
14162,several,amod,time,[]
14163,time,npadvmod,thought,[several]
14164,simply,advmod,thought,[]
14165,thought,advcl,messed,"[time, simply]"
14166,step,npadvmod,complete,[]
14167,complete,oprd,seems,[step]
14168,n,punct,seems,[]
14169,t,nsubj,made,[  ]
14170,  ,dep,t,[]
14171,actually,advmod,made,[]
14172,made,conj,seems,"[t, actually, let]"
14173,lose,amod,ground,[]
14174,ground,nsubj,figured,[lose]
14175,figured,amod,app,"[ground,   ]"
14176,  ,dep,figured,[]
14177,advice,compound,patient,[]
14178,patient,compound,app,"[advice,   ]"
14179,  ,dep,patient,[]
14180,app,nsubj,let,"[figured, patient]"
14181,let,ccomp,made,"[app, know, use]"
14182,know,xcomp,let,[move]
14183,move,dobj,know,[]
14184,next,amod,step,[]
14185,step,npadvmod,use,"[next, moment]"
14186,my,poss,moment,[]
14187,biggest,amod,moment,[]
14188,issue,compound,moment,[]
14189,moment,dobj,step,"[my, biggest, issue]"
14190,several,amod,home,[]
14191,echo,compound,device,[]
14192,device,compound,home,[echo]
14193,home,nsubj,use,"[several, device]"
14194,would,aux,use,[]
14195,like,intj,use,[]
14196,use,ccomp,let,"[step, home, would, like, intercom]"
14197,intercom,dobj,use,[  ]
14198,  ,dep,intercom,[]
14199,told,conj,seems,"[done, make]"
14200,done,xcomp,told,[    ]
14201,    ,dep,done,[]
14202,however,advmod,make,[  ]
14203,  ,dep,however,[]
14204,ca,aux,make,[]
14205,n,nmod,t,[]
14206,t,nsubj,make,[n]
14207,make,xcomp,told,"[however, ca, t, echo, existence]"
14208,echo,ccomp,make,[aware]
14209,aware,acomp,echo,[]
14210,others,compound,existence,[]
14211,existence,dobj,make,"[others,   ]"
14212,  ,dep,existence,[]
14213,ask,ccomp,seems,"[name, know, think]"
14214,alexa,compound,name,[]
14215,answer,compound,name,[]
14216,instruction,compound,change,[]
14217,change,compound,name,[instruction]
14218,name,dobj,ask,"[alexa, answer, change,   ]"
14219,  ,dep,name,[]
14220,know,xcomp,ask,[]
14221,likely,amod,fault,[]
14222,fault,nsubj,think,"[likely,   ]"
14223,  ,dep,fault,[]
14224,would,aux,think,[]
14225,think,ccomp,ask,"[fault, would, anticipate]"
14226,designer,nsubj,anticipate,[]
14227,would,aux,anticipate,[]
14228,anticipate,ccomp,think,"[designer, would, make]"
14229,make,xcomp,anticipate,"[find, challenge]"
14230,easier,amod,find,[]
14231,find,dobj,make,"[easier, deal]"
14232,needed,amod,instruction,[]
14233,instruction,compound,deal,"[needed,   ]"
14234,  ,dep,instruction,[]
14235,small,amod,deal,[]
14236,deal,dobj,find,"[instruction, small]"
14237,many,amod,device,[]
14238,device,npadvmod,savvy,[many]
14239,savvy,amod,people,[device]
14240,people,compound,challenge,"[savvy,   ]"
14241,  ,dep,people,[]
14242,challenge,dobj,make,"[people,  ]"
14243, ,dep,challenge,[]
14244,loving,ROOT,loving,[much]
14245,much,advmod,loving,[]
14246,original,amod,tap,[]
14247,alexa,compound,tap,[]
14248,tap,nsubj,see,"[original, alexa, generation, m]"
14249,far,advmod,nd,[ ]
14250, ,dep,far,[]
14251,nd,compound,generation,[far]
14252,generation,appos,tap,[nd]
14253,best,amod,m,[   ]
14254,   ,dep,best,[]
14255,m,relcl,tap,"[best, happy]"
14256,happy,acomp,m,[]
14257,see,ROOT,see,"[tap, making, a]"
14258,making,xcomp,see,"[improvement, one]"
14259,improvement,dobj,making,[]
14260,new,amod,one,[]
14261,one,dobj,making,"[new, update]"
14262,it,nsubj,update,[]
14263,would,aux,update,[]
14264,great,advmod,update,[]
14265,update,relcl,one,"[it, would, great, little]"
14266,little,dobj,update,[]
14267,a,punct,see,[]
14268,i,compound,s,[   ]
14269,   ,dep,i,[]
14270,s,nsubj,think,"[i,   ]"
14271,  ,dep,s,[]
14272,think,ROOT,think,"[s, help]"
14273,would,aux,help,[]
14274,help,ccomp,think,"[would, music, throughout, adjust, thank]"
14275,lot,compound,bug,[]
14276,bug,compound,music,"[lot,   ]"
14277,  ,dep,bug,[]
14278,happy,amod,music,[]
14279,play,compound,music,[]
14280,music,dobj,help,"[bug, happy, play]"
14281,throughout,prep,help,[house]
14282,whole,amod,house,[]
14283,house,pobj,throughout,[whole]
14284,adjust,dep,help,[treble]
14285,bass,compound,treble,[]
14286,treble,dobj,adjust,"[bass,   ]"
14287,  ,dep,treble,[]
14288,thank,dep,help,[]
14289,pleased,amod,news,[generation]
14290,echo,compound,nd,[ ]
14291, ,dep,echo,[]
14292,nd,compound,generation,[echo]
14293,generation,dobj,pleased,"[nd,   ]"
14294,  ,dep,generation,[]
14295,nice,amod,news,[]
14296,alexa,nmod,news,[]
14297,available,amod,news,[]
14298,music,compound,weather,[  ]
14299,  ,dep,music,[]
14300,weather,compound,news,"[music,   ]"
14301,  ,dep,weather,[]
14302,news,nsubj,discovered,"[pleased, nice, alexa, available, weather,   ]"
14303,  ,dep,news,[]
14304,probably,advmod,discovered,[]
14305,lot,npadvmod,discovered,[  ]
14306,  ,dep,lot,[]
14307,discovered,ROOT,discovered,"[news, probably, lot,  ]"
14308, ,dep,discovered,[]
14309,pleasantly,advmod,surprised,[]
14310,surprised,amod,bass,[pleasantly]
14311,sound,compound,quality,[]
14312,quality,compound,fan,[sound]
14313,echo,compound,fan,[  ]
14314,  ,dep,echo,[]
14315,big,amod,fan,[]
14316,fan,nmod,bass,"[quality, echo, big]"
14317,deep,amod,bass,[]
14318,bass,nsubj,sufficient,"[surprised, fan, deep,   ]"
14319,  ,dep,bass,[]
14320,might,aux,sufficient,[]
14321,sufficient,ROOT,sufficient,"[bass, might, explore, change, loved, want, blown, conversation, echo, made, ask, tell, come]"
14322,though,mark,explore,[  ]
14323,  ,dep,though,[]
14324,potential,amod,option,[]
14325,control,compound,option,[]
14326,home,compound,option,[]
14327,option,nsubj,explore,"[potential, control, home]"
14328,explore,advcl,sufficient,"[though, option, evolve]"
14329,evolve,xcomp,explore,"[home, recognition]"
14330,home,advmod,evolve,[   ]
14331,   ,dep,home,[]
14332,smart,amod,recognition,[]
14333,home,compound,recognition,[     ]
14334,     ,dep,home,[]
14335,voice,compound,recognition,[]
14336,recognition,dobj,evolve,"[smart, home, voice]"
14337,impressive,amod,purchase,[  ]
14338,  ,dep,impressive,[]
14339,stylish,amod,purchase,[]
14340,fun,compound,regret,[  ]
14341,  ,dep,fun,[]
14342,regret,compound,purchase,[fun]
14343,purchase,nsubj,change,"[impressive, stylish, regret,   , great]"
14344,  ,dep,purchase,[]
14345,great,amod,purchase,[]
14346,technically,advmod,change,[]
14347,change,ccomp,sufficient,"[purchase, technically, people, ask]"
14348,people,dobj,change,[  ]
14349,  ,dep,people,[]
14350,ask,xcomp,change,[responds]
14351,play,compound,song,[]
14352,song,compound,movie,[play]
14353,movie,nsubj,responds,[song]
14354,responds,ccomp,ask,[movie]
14355,instantly,advmod,elderly,[  ]
14356,  ,dep,instantly,[]
14357,elderly,advmod,loved,[instantly]
14358,loved,conj,sufficient,"[elderly, one]"
14359,one,dobj,loved,[  ]
14360,  ,dep,one,[]
14361,would,aux,want,[]
14362,great,amod,use,[]
14363,gift,nmod,use,[  ]
14364,  ,dep,gift,[]
14365,connected,amod,use,[]
14366,wifi,nmod,use,[  ]
14367,  ,dep,wifi,[]
14368,simple,amod,use,[]
14369,use,nsubj,want,"[great, gift, connected, wifi, simple,   ]"
14370,  ,dep,use,[]
14371,want,ccomp,sufficient,"[would, use, control]"
14372,unlimited,amod,control,[]
14373,music,compound,control,[]
14374,control,dobj,want,"[unlimited, music,   ]"
14375,  ,dep,control,[]
14376,sure,advmod,blown,[]
14377,amazon,nmod,spotify,[]
14378,prime,compound,premium,[]
14379,premium,compound,spotify,[prime]
14380,spotify,nsubj,blown,"[amazon, premium]"
14381,blown,advcl,sufficient,"[sure, spotify, away, dj]"
14382,away,advmod,blown,[]
14383,personal,amod,dj,[]
14384,dj,dobj,blown,"[personal,   ]"
14385,  ,dep,dj,[]
14386,even,advmod,conversation,[]
14387,conversation,punct,sufficient,[even]
14388,echo,xcomp,sufficient,"[  , embarrassed]"
14389,  ,dep,echo,[]
14390,embarrassed,oprd,echo,[]
14391,say,aux,made,[  ]
14392,  ,dep,say,[]
14393,echo,nsubj,made,[]
14394,made,ccomp,sufficient,"[say, echo, laugh]"
14395,laugh,dobj,made,[time]
14396,couple,compound,time,[]
14397,time,npadvmod,laugh,[couple]
14398,ask,advcl,sufficient,[tell]
14399,tell,xcomp,ask,[joke]
14400,joke,dobj,tell,[  ]
14401,  ,dep,joke,[]
14402,tell,conj,sufficient,[package]
14403,package,dobj,tell,[]
14404,since,mark,come,[]
14405,amazon,amod,addict,[]
14406,prime,amod,addict,[]
14407,addict,nsubj,come,"[amazon, prime,   ]"
14408,  ,dep,addict,[]
14409,come,advcl,sufficient,"[since, addict, handy]"
14410,extremely,advmod,handy,[]
14411,handy,acomp,come,"[extremely,  ]"
14412, ,dep,handy,[]
14413,easy,amod,thing,[]
14414,setup,compound,love,[  ]
14415,  ,dep,setup,[]
14416,love,compound,thing,[setup]
14417,thing,ROOT,thing,"[easy, love,  ]"
14418, ,dep,thing,[]
14419,alexa,nsubj,arrived,[throughout]
14420,throughout,prep,alexa,[future]
14421,house,compound,future,[      ]
14422,      ,dep,house,[]
14423,future,pobj,throughout,[house]
14424,arrived,ROOT,arrived,"[alexa,  ]"
14425, ,dep,arrived,[]
14426,already,advmod,find,[]
14427,alexa,compound,amazon,[]
14428,amazon,nsubj,find,[alexa]
14429,find,ROOT,find,"[already, amazon, resist, happier]"
14430,today,npadvmod,resist,[]
14431,could,aux,resist,[]
14432,resist,ccomp,find,"[today, could, getting, use]"
14433,getting,xcomp,resist,"[echo, thing]"
14434,echo,dobj,getting,[]
14435,also,advmod,best,[  ]
14436,  ,dep,also,[]
14437,best,amod,thing,[also]
14438,thing,dobj,getting,[best]
14439,ever,advmod,use,[  ]
14440,  ,dep,ever,[]
14441,use,advcl,resist,"[ever, house]"
14442,side,compound,house,[]
14443,house,dobj,use,"[side,   ]"
14444,  ,dep,house,[]
14445,could,aux,happier,[]
14446,n,advmod,t,[]
14447,t,npadvmod,happier,[n]
14448,happier,ccomp,find,"[could, t,  ]"
14449, ,dep,happier,[]
14450,arrived,ROOT,arrived,[expected]
14451,expected,advcl,arrived,[ ]
14452, ,dep,expected,[]
14453,bought,ROOT,bought,"[ago, product]"
14454,week,npadvmod,ago,[]
14455,ago,advmod,bought,"[week,   ]"
14456,  ,dep,ago,[]
14457,everything,compound,product,[]
14458,product,dobj,bought,"[everything, excellent]"
14459,excellent,amod,product,"[          , n]"
14460,          ,dep,excellent,[]
14461,n,punct,excellent,[]
14462,t,nsubj,forget,[]
14463,forget,ROOT,forget,"[t, buy, take, worry, hiring]"
14464,buy,xcomp,forget,"[charger, ordering]"
14465,charger,dobj,buy,[]
14466,ordering,advcl,buy,"[   , s]"
14467,   ,dep,ordering,[]
14468,s,dobj,ordering,[]
14469,must,aux,take,[]
14470,take,conj,forget,"[must, pool]"
14471,outside,amod,pool,[]
14472,pool,dobj,take,[outside]
14473,worry,dep,forget,[]
14474,hiring,advcl,forget,[put]
14475,electrician,nsubj,put,[]
14476,put,ccomp,hiring,"[electrician, yard]"
14477,outlet,compound,yard,[]
14478,yard,dobj,put,"[outlet,  ]"
14479, ,dep,yard,[]
14480,terrific,ROOT,terrific,[]
14481,love,nsubj,echo,[]
14482,echo,ROOT,echo,[love]
14483,  ,dep,smaller,[]
14484,smaller,amod,look,[  ]
14485,original,amod,look,[  ]
14486,  ,dep,original,[]
14487,look,ROOT,look,"[smaller, original, nicer]"
14488,nicer,acomp,look,[ ]
14489, ,dep,nicer,[]
14490,work,ROOT,work,[great]
14491,great,advmod,work,[ ]
14492, ,dep,great,[]
14493,husband,nsubj,call,[]
14494,would,aux,call,[]
14495,call,ccomp,come,"[husband, would,         , adopter]"
14496,        ,dep,call,[]
14497,late,amod,adopter,[]
14498,adopter,dobj,call,"[late,         ]"
14499,        ,dep,adopter,[]
14500,come,ROOT,come,"[call, technology, decide, try]"
14501,technology,dobj,come,[  ]
14502,  ,dep,technology,[]
14503,decide,advcl,come,[]
14504,would,aux,try,[]
14505,try,advcl,come,"[would, echo, serve]"
14506,echo,xcomp,try,[]
14507,serve,xcomp,try,"[primarily, source]"
14508,primarily,advmod,serve,[]
14509,music,compound,source,[]
14510,source,dobj,serve,"[music,   ]"
14511,  ,dep,source,[]
14512,wow,intj,amazed,[  ]
14513,  ,dep,wow,[]
14514,amazed,advcl,buy,"[wow, sound, ve]"
14515,great,amod,sound,[]
14516,sound,dobj,amazed,"[great,    ]"
14517,   ,dep,sound,[]
14518,ve,dep,amazed,"[also, time]"
14519,also,advmod,ve,[]
14520,great,amod,time,[]
14521,time,npadvmod,ve,"[great, listening]"
14522,listening,acl,time,[]
14523,favorite,amod,song,[]
14524,song,compound,buy,[favorite]
14525,buy,csubj,buy,"[amazed, song, asking]"
14526,asking,xcomp,buy,[alexa]
14527,alexa,dobj,asking,[  ]
14528,  ,dep,alexa,[]
14529,may,aux,buy,[]
14530,even,advmod,buy,[]
14531,buy,ROOT,buy,"[buy, may, even, dad, think, place, call]"
14532,one,nummod,dad,[]
14533,elderly,amod,dad,[]
14534,dad,dobj,buy,"[one, elderly,   ]"
14535,  ,dep,dad,[]
14536,think,conj,buy,[enjoy]
14537,enjoy,xcomp,think,[music]
14538,one,nummod,music,[]
14539,listen,amod,music,[]
14540,music,dobj,enjoy,"[one, listen]"
14541,even,advmod,place,[]
14542,place,advcl,buy,[even]
14543,call,dep,buy,[u]
14544,u,oprd,call,[ ]
14545, ,dep,u,[]
14546,really,advmod,enjoyed,[]
14547,enjoyed,ROOT,enjoyed,"[really,   , changing, play, turn]"
14548,  ,dep,enjoyed,[]
14549,changing,xcomp,enjoyed,[channel]
14550,directv,compound,channel,[]
14551,channel,dobj,changing,"[directv,   ]"
14552,  ,dep,channel,[]
14553,play,ccomp,enjoyed,[adjusts]
14554,iheartradio,compound,pandora,[]
14555,pandora,nsubj,adjusts,"[iheartradio,   ]"
14556,  ,dep,pandora,[]
14557,adjusts,ccomp,play,"[pandora, thermostat]"
14558,ac,nmod,thermostat,[]
14559,thermostat,dobj,adjusts,[ac]
14560,turn,dep,enjoyed,"[light, outside]"
14561,living,amod,room,[]
14562,room,compound,light,[living]
14563,light,dobj,turn,[room]
14564,outside,prep,turn,[light]
14565,light,pobj,outside,[ ]
14566, ,dep,light,[]
14567,wanting,csubj,love,[bought]
14568,one,nsubj,bought,[  ]
14569,  ,dep,one,[]
14570,bought,ccomp,wanting,"[one, day]"
14571,prime,amod,day,[]
14572,day,dobj,bought,[prime]
14573,absolutely,advmod,love,[]
14574,love,ROOT,love,"[wanting, absolutely,  ]"
14575, ,dep,love,[]
14576,glad,advmod,echo,[]
14577,got,aux,echo,[]
14578,echo,ROOT,echo,"[glad, got, speaker, stuff, love, helped, integration, use, get]"
14579,bluetooth,det,speaker,[]
14580,speaker,dobj,echo,"[bluetooth,   ]"
14581,  ,dep,speaker,[]
14582,alexa,amod,stuff,[]
14583,much,amod,stuff,[]
14584,stuff,dobj,echo,"[alexa, much]"
14585,non,dep,love,[]
14586,smart,amod,speaker,[]
14587,speaker,nsubj,love,"[smart,   ]"
14588,  ,dep,speaker,[]
14589,personally,advmod,love,[]
14590,love,conj,echo,"[non, speaker, personally, feature]"
14591,timer,compound,feature,[]
14592,feature,dobj,love,"[timer,   ]"
14593,  ,dep,feature,[]
14594,helped,conj,echo,[cooking]
14595,cooking,xcomp,helped,[thing]
14596,multiple,amod,thing,[]
14597,thing,dobj,cooking,[multiple]
14598,simultaneously,advmod,integration,[  ]
14599,  ,dep,simultaneously,[]
14600,pandora,compound,integration,[]
14601,integration,conj,echo,"[simultaneously, pandora]"
14602,another,det,feature,[]
14603,feature,nsubj,use,[another]
14604,use,conj,echo,"[feature, purchase]"
14605,daily,amod,happy,[  ]
14606,  ,dep,daily,[]
14607,happy,amod,purchase,[daily]
14608,prime,amod,day,[]
14609,day,compound,purchase,[prime]
14610,purchase,dobj,use,"[happy, day,   ]"
14611,  ,dep,purchase,[]
14612,get,advcl,echo,[future]
14613,echo,compound,hub,[]
14614,hub,compound,future,[echo]
14615,echo,compound,future,[]
14616,dot,compound,future,[]
14617,future,dobj,get,"[hub, echo, dot,  ]"
14618, ,dep,future,[]
14619,see,ROOT,see,[love]
14620,subject,amod,love,[]
14621,line,compound,love,[  ]
14622,  ,dep,line,[]
14623,love,dobj,see,"[subject, line]"
14624,love,ROOT,love,[ ]
14625, ,dep,love,[]
14626,easy,amod,setup,[]
14627,setup,ROOT,setup,"[easy,  ]"
14628, ,dep,setup,[]
14629,hesitant,advmod,seems,[buy]
14630,buy,dep,hesitant,[dot]
14631,echo,compound,dot,[]
14632,echo,compound,dot,[]
14633,dot,dobj,buy,"[echo, echo]"
14634,seems,ROOT,seems,"[hesitant, good, echo, n, needed, listen]"
14635,good,oprd,seems,[enough]
14636,enough,advmod,good,[  ]
14637,  ,dep,enough,[]
14638,echo,oprd,seems,[except]
14639,except,prep,echo,[quality]
14640,sound,amod,quality,[]
14641,quality,pobj,except,"[sound,   , really]"
14642,  ,dep,quality,[]
14643,really,advmod,quality,[]
14644,n,punct,seems,[]
14645,t,nsubj,feel,[]
14646,feel,auxpass,needed,[t]
14647,needed,oprd,seems,"[feel,   , glad]"
14648,  ,dep,needed,[]
14649,however,advmod,glad,[  ]
14650,  ,dep,however,[]
14651,glad,oprd,needed,[however]
14652,got,aux,sound,[  ]
14653,  ,dep,got,[]
14654,difference,compound,sound,[  ]
14655,  ,dep,difference,[]
14656,sound,nsubj,listen,"[got, difference]"
14657,really,advmod,far,[]
14658,far,advmod,superior,[really]
14659,superior,amod,dot,[far]
14660,echo,compound,dot,[]
14661,dot,nsubj,listen,"[superior, echo,   ]"
14662,  ,dep,dot,[]
14663,listen,ccomp,seems,"[sound, dot, power]"
14664,greatest,amod,showman,[]
14665,showman,nmod,power,[greatest]
14666,little,amod,power,[]
14667,power,dobj,listen,"[showman, little,  ]"
14668, ,dep,power,[]
14669,sound,amod,quality,[]
14670,quality,npadvmod,great,[sound]
14671,great,nsubj,learning,"[quality,   ]"
14672,  ,dep,great,[]
14673,still,advmod,learning,[]
14674,learning,ROOT,learning,"[great, still, thing, fun]"
14675,different,amod,thing,[]
14676,thing,dobj,learning,"[different,   ]"
14677,  ,dep,thing,[]
14678,fun,dative,learning,[     ]
14679,     ,dep,fun,[]
14680,got,ROOT,got,"[work, worked]"
14681,good,amod,deal,[]
14682,deal,nsubj,work,[good]
14683,work,ccomp,got,"[deal, fault]"
14684,great,amod,fault,[]
14685,prime,amod,bit,[  ]
14686,  ,dep,prime,[]
14687,setup,compound,bit,[]
14688,bit,compound,pain,"[prime, setup]"
14689,pain,compound,fault,[bit]
14690,fault,dobj,work,"[great, pain]"
14691,crappy,amod,service,[]
14692,internet,compound,service,[]
14693,service,nsubj,worked,"[crappy, internet,   ]"
14694,  ,dep,service,[]
14695,worked,ccomp,got,"[service, speaker]"
14696,great,amod,speaker,[]
14697,nice,amod,speaker,[]
14698,sound,amod,speaker,[]
14699,small,amod,speaker,[]
14700,speaker,dobj,worked,"[great, nice, sound, small,  ]"
14701, ,dep,speaker,[]
14702,love,ROOT,love,[   ]
14703,   ,dep,love,[]
14704,work,ROOT,work,[office]
14705,great,amod,office,[  ]
14706,  ,dep,great,[]
14707,perfect,amod,office,[]
14708,office,dobj,work,"[great, perfect,  ]"
14709, ,dep,office,[]
14710,love,ROOT,love,"[     , one, house, pool]"
14711,     ,dep,love,[]
14712,one,npadvmod,love,[]
14713,inside,amod,house,[]
14714,house,npadvmod,love,[inside]
14715,one,nummod,pool,[]
14716,pool,npadvmod,love,"[one,   , speaker]"
14717,  ,dep,pool,[]
14718,good,amod,speaker,[]
14719,bose,compound,speaker,[]
14720,speaker,appos,pool,"[good, bose, around]"
14721,around,prep,speaker,[house]
14722,house,pobj,around,[ ]
14723, ,dep,house,[]
14724,easy,amod,use,[]
14725,use,ROOT,use,"[easy,    , amazing]"
14726,   ,dep,use,[]
14727,amazing,amod,use,[]
14728,nice,amod,product,[]
14729,product,ROOT,product,"[nice, a]"
14730,a,appos,product,[]
14731,love,nsubj,echo,[]
14732,echo,ROOT,echo,"[love,   , amazed, bummed, buy]"
14733,  ,dep,echo,[]
14734,totally,advmod,amazed,[]
14735,amazed,amod,echo,"[totally, quality]"
14736,speaker,compound,quality,[]
14737,quality,dobj,amazed,"[speaker,   ]"
14738,  ,dep,quality,[]
14739,bummed,advcl,echo,[  ]
14740,  ,dep,bummed,[]
14741,buy,advcl,echo,"[two, got]"
14742,two,dobj,buy,[]
14743,since,mark,got,[]
14744,got,advcl,buy,"[since, day]"
14745,prime,amod,day,[]
14746,day,nsubj,got,"[prime,  ]"
14747, ,dep,day,[]
14748,responsive,amod,size,[  ]
14749,  ,dep,responsive,[]
14750,great,amod,size,[]
14751,sound,amod,quality,[]
14752,quality,compound,size,[sound]
14753,size,ROOT,size,"[responsive, great, quality,  ]"
14754, ,dep,size,[]
14755, ,dep, ,[]
14756,s,ROOT,s,[]
14757,efficient,amod,cool,[amazing]
14758,amazing,dep,efficient,[  ]
14759,  ,dep,amazing,[]
14760,cool,amod,use,"[efficient,   ]"
14761,  ,dep,cool,[]
14762,use,ROOT,use,"[cool, often, day]"
14763,often,advmod,use,[]
14764,every,det,day,[]
14765,day,npadvmod,use,"[every,    ]"
14766,   ,dep,day,[]
14767,  ,dep,impressed,[]
14768,impressed,ROOT,impressed,"[  , echo, comparable, gave, use]"
14769,quality,compound,echo,[]
14770,sound,compound,echo,[]
14771,echo,dobj,impressed,"[quality, sound,     ]"
14772,    ,dep,echo,[]
14773,definitely,advmod,comparable,[]
14774,comparable,ccomp,impressed,"[definitely, mini]"
14775,bose,compound,mini,[]
14776,mini,dobj,comparable,"[bose,   ]"
14777,  ,dep,mini,[]
14778,gave,advcl,impressed,"[  , star]"
14779,  ,dep,gave,[]
14780,star,dobj,gave,[  ]
14781,  ,dep,star,[]
14782,use,advcl,impressed,[account]
14783,apple,compound,music,[]
14784,music,compound,account,[apple]
14785,account,dobj,use,"[music,  ]"
14786, ,dep,account,[]
14787,technology,nmod,device,[]
14788,small,amod,device,[]
14789,device,compound,price,"[technology, small,   ]"
14790,  ,dep,device,[]
14791,price,compound,sound,[device]
14792,good,amod,sound,[  ]
14793,  ,dep,good,[]
14794,sound,nsubj,feature,"[price, good, amazing]"
14795,amazing,acomp,sound,[  ]
14796,  ,dep,amazing,[]
14797,must,aux,feature,[]
